"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"62","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:10:41,FALSE,NA,"1072055995549966337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patriciatumulak",2352,TRUE,FALSE,NA,NA
"63","RT @ComicBookCast: Watch out Thanos 🤣 #AvengersEndgame https://t.co/sTJOjgBqKm",FALSE,0,NA,2018-12-10 09:10:39,FALSE,NA,"1072055983793410048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","biggs_jamie",306,TRUE,FALSE,NA,NA
"64","Listen to @NASA they always had the solution!! ✌🏻 #marvel #AvengersEndgame https://t.co/g3zpzza2CA",FALSE,0,NA,2018-12-10 09:10:36,FALSE,NA,"1072055971755819013",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","omorfitkata",0,FALSE,FALSE,NA,NA
"65","RT @racheljpierce: it's been a long year #AvengersEndgame https://t.co/YGUAFcUNbT",FALSE,0,NA,2018-12-10 09:10:34,FALSE,NA,"1072055963337744385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ephemerallyf",2352,TRUE,FALSE,NA,NA
"66","RT @Avengers: To the greatest fans in the world, thank you for being there from the beginning til the endgame and making Marvel Studios’ #A…",FALSE,0,NA,2018-12-10 09:10:31,FALSE,NA,"1072055951253942273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zAndRA_AleX__",17823,TRUE,FALSE,NA,NA
"67","RT @melting_wine: We request you all to stop asking us to save Tony Stark from space.

#AvengersEndgame #Marvel #NASA #jk",FALSE,0,NA,2018-12-10 09:10:24,FALSE,NA,"1072055921763737600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_izyann",937,TRUE,FALSE,NA,NA
"68","RT @MCU_Tweets: He's come so far... #AvengersEndGame https://t.co/zHezmEqNUc",FALSE,0,NA,2018-12-10 09:10:21,FALSE,NA,"1072055911999508480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",5728,TRUE,FALSE,NA,NA
"69","RT @MCU_Tweets: The word ""endgame"" has been said on-screen twice in the MCU... #AvengersEndgame https://t.co/wiUsxDv6zF",FALSE,0,NA,2018-12-10 09:10:10,FALSE,NA,"1072055862884270080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",3256,TRUE,FALSE,NA,NA
"70","RT @agikun: *painting nonstop for almost 20 hours*
That Endgame trailer is killing me. 
I need to redraw that scene or else I would be in p…",FALSE,0,NA,2018-12-10 09:10:04,FALSE,NA,"1072055838712295424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shrimp_tommy",1852,TRUE,FALSE,NA,NA
"71","RT @MCU_Tweets: Ouch... #AvengersEndgame https://t.co/fc5sjaUSsa",FALSE,0,NA,2018-12-10 09:10:02,FALSE,NA,"1072055831506620417",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",3865,TRUE,FALSE,NA,NA
"72","RT @melting_wine: We request you all to stop asking us to save Tony Stark from space.

#AvengersEndgame #Marvel #NASA #jk",FALSE,0,NA,2018-12-10 09:09:56,FALSE,NA,"1072055806319718401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ztyrzn",937,TRUE,FALSE,NA,NA
"73","RT @MCU_Tweets: It's always you. #AvengersEndgame https://t.co/4kvynCFfbQ",FALSE,0,NA,2018-12-10 09:09:56,FALSE,NA,"1072055805162201093",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abdul_ajiya",3810,TRUE,FALSE,NA,NA
"74","How #TonyStark makes it back to earth in #AvengersEndgame.

#elonmusk https://t.co/Uw7xHAyYHL",FALSE,0,NA,2018-12-10 09:09:55,FALSE,NA,"1072055799264858114",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TechRadioTweets",0,FALSE,FALSE,NA,NA
